Timestamp,PV-Plant1,PV-Plant2,Industry1,Industry2,Industry3,Resident1,Resident3,Resident4,Resident5,Resident6
2016-03-01T00:00:00Z,0,0,-21.2539061999996,-1.66087937100002,-62,-0.380371100000048,-0.25,-0.796542090000003,-0.692443850000018,-0.247558589999926
2016-03-01T01:00:00Z,0,0,-18.2460938000004,-1.78773086500001,-62,-0.41015625,-0.290527343699999,-0.804931640000177,-0.187683099999958,-0.3125
2016-03-01T02:00:00Z,0,0,-13.7460936999996,-1.72362051199997,-62.25,-0.401367179999852,-0.238769531300001,-0.844726559999799,-0.2299804700001,-0.370117189999974
2016-03-01T03:00:00Z,0,0,-17.5039063000004,-1.59346014800002,-61.75,-0.415039070000148,-0.258789062399998,-0.890014650000012,-0.17993163999995,-0.307495120000112
2016-03-01T04:00:00Z,0,0,-13.9960936999996,-1.67372019800001,-61,-0.463378899999952,-0.211914062600002,-0.865112299999964,-0.209960939999974,-0.259887689999914
2016-03-01T05:00:00Z,0,0,-13.75,-2.04352678499998,-61.25,-0.771972659999847,-0.76953125,-0.993756979999944,-0.34759522000013,-0.635009770000124
2016-03-01T06:00:00Z,0,0,-22.5,-2.98381696500002,-66.5,-0.745117190000201,-0.610839843699999,-0.876953120000053,-0.29254149999997,-1.11010741999985
2016-03-01T07:00:00Z,0,0.01171875,-21.5,-2.75035413799998,-99.25,-0.412597649999952,-0.379394531300001,-1.79432896000026,-0.239990229999876,-0.582153320000089
2016-03-01T08:00:00Z,0,0.01953125,-25.5,-3.307332804,-103,-0.393066409999847,-0.1796875,-0.87602539999989,-0.219970710000098,-0.6176757799999
2016-03-01T09:00:00Z,0.009765619999598,0.072265619999826,-28.25,-4.52490234300001,-110.5,-0.356933590000153,-0.351074218699999,-0.552441410000028,-0.2299804700001,-0.609863280000127
2016-03-01T10:00:00Z,0.058105470000101,0.09765625,-33.5,-5.03794642899999,-115.25,-0.359375,-0.1826171875,-0.33468190999974506,-0.239990229999876,-0.590209960000038
2016-03-01T11:00:00Z,0.235351560000254,0.388671880000174,-33,-4.98451450900001,-125.5,-0.6333007799999,-0.1796875,0.428187779999917,-0.239990239999997,-1.85510253999996
2016-03-01T12:00:00Z,0.954785160000029,1.23828125,-35.5,-3.560546875,-120.5,-0.366699220000101,-0.286621093800001,1.586181629999825,-0.229980459999979,-1.19726562999995
2016-03-01T13:00:00Z,0.807421869999871,1.28320311999983,-35.5,-3.32324218700001,-116.25,-0.380859379999947,-0.62109375,0.6129557400001879,-0.199951179999971,-0.782714839999926
2016-03-01T14:00:00Z,0.300292970000101,0.796875,-29.25,-3.98883928599997,-123.25,-0.369140620000053,-0.347167968699999,-1.221912210000031,-0.777526850000186,-0.71484375
2016-03-01T15:00:00Z,0.754882819999693,1.69726563000017,-27.625,-3.17892219399999,-101.75,-0.419921879999947,-0.4296875,0.40754046000006405,-0.397460939999974,-0.537475590000213
2016-03-01T16:00:00Z,0.238769530000354,0.515625,-20.75,-3.29104533900005,-81.5,-0.351074220000101,-0.427246093699999,-0.311930340000345,-0.660095210000009,-0.864868159999787
2016-03-01T17:00:00Z,0,0,-17.5,-3.94761450799996,-83,-0.514648429999852,-0.817871093800001,-0.968880209999952,-0.737487799999826,-0.740234380000175
2016-03-01T18:00:00Z,0,0,-22,-3.58422537500002,-82,-0.952148440000201,-0.950683593800001,-0.939941409999847,-0.560058590000153,-0.709960929999852
2016-03-01T19:00:00Z,0,0,-18.25,-2.99282226499997,-75.25,-0.580078129999947,-0.573730468699999,-0.842846680000093,-1.12988281000003,-1.03479003999996
2016-03-01T20:00:00Z,0,0,-18,-2.51178166400001,-64.5,-0.587402340000153,-0.667480468699999,-0.974975579999864,-0.777526859999853,-1.13769532000015
2016-03-01T21:00:00Z,0,0,-17.75,-1.83801551200003,-63.25,-0.73046875,-0.817871093800001,-1.96354167000027,-1.14495849000014,-0.997436520000065
2016-03-01T22:00:00Z,0,0,-19,-1.77434967400001,-63.75,-0.606933589999699,-0.849609375,-0.711751299999833,-0.602539069999921,-0.727539059999799
2016-03-01T23:00:00Z,0,0,-18,-1.80845424099999,-61.5,-0.368164070000148,-0.6748046875,-0.830810550000024,-0.872619629999917,-0.547729490000165
2016-03-02T00:00:00Z,0,0,-23.75,-1.681640625,-59.5,-0.3598632799999,-0.490234375,-0.851900539999861,-0.229980459999979,-0.247436529999959
2016-03-02T01:00:00Z,0,0,-18,-1.67224786899999,-59.25,-0.387695310000254,-0.520996093699999,-0.807279139999991,-0.189941410000074,-0.259887689999914
2016-03-02T02:00:00Z,0,0,-14.5,-1.82862975,-59.5,-0.384277339999699,-0.412597656300001,-0.691731769999933,-0.189941410000074,-0.220092779999959
2016-03-02T03:00:00Z,0,0,-17.25,-1.74078756799997,-60,-0.424804690000201,-0.287109375,-0.708170580000115,-0.207458489999908,-0.402465820000089
2016-03-02T04:00:00Z,0,0,-14.25,-1.73875918000005,-60,-0.4731445299999,-0.223144531300001,-0.720996089999971,-0.232482910000044,-0.382324209999979
2016-03-02T05:00:00Z,0,0,-15.25,-2.21271961399998,-58.75,-0.767089850000048,-0.732421875,-0.912583710000035,-0.300048829999923,-0.412719729999935
2016-03-02T06:00:00Z,0.2231445299999,0.16796875,-23.25,-3.40471540200002,-63.25,-0.650390620000053,-0.486328125,-0.808454240000174,-0.390136720000101,-0.707397460000038
2016-03-02T07:00:00Z,0.931152339999699,0.74609375,-23.75,-2.12553267099997,-85.25,-0.842285159999847,-0.024414062449998997,-1.990745899999639,-0.309814449999976,-0.447265630000175
